,price,floor,bedroomCount,netHabitableSurface,bathroomCount,condition
1215,130000,0,2,84,1,4
1217,775000,3,2,124,2,5
1218,1100000,3,3,165,2,5
1219,405000,3,1,77,1,5
1220,749000,2,2,121,2,5
1221,925000,3,2,140,2,5
1222,645000,2,2,113,2,5
1223,1375000,2,3,195,2,5
1224,775000,3,2,124,2,5
1225,319000,5,2,100,1,5
1226,234000,2,1,72,1,3
1227,299000,2,0,38,1,5
1228,885000,0,3,171,2,4
1229,450000,3,1,71,1,3
1230,265000,0,2,85,1,5
1231,359000,4,2,105,1,4
1232,795000,3,2,83,2,5
1234,399000,1,1,71,1,5
1236,179000,2,1,27,1,4
1238,660000,3,2,55,1,5
1239,650000,2,2,136,2,5
1240,395000,4,2,112,1,5
1241,645000,6,2,100,2,4
1242,445000,0,1,65,1,5
1243,649000,6,2,125,2,4
1244,297000,2,1,58,1,5
1245,299000,1,1,69,1,5
1246,530000,2,2,117,2,5
1247,114000,1,2,67,1,4
1248,335000,3,2,108,1,5
1249,235000,0,2,81,1,4
1250,235000,0,2,81,1,4
1251,350000,3,2,100,1,5
1252,229000,2,2,75,1,5
1256,258000,1,3,110,1,4
1258,395000,1,3,109,1,4
1259,195000,1,1,53,1,5
1260,410000,2,3,113,1,0
1268,199000,0,3,126,1,5
1271,205000,3,1,54,1,4
1272,260000,0,2,100,1,5
1274,425000,1,3,115,1,3
1275,169000,4,0,39,1,4
1279,375000,0,6,217,3,2
1280,325000,2,2,143,2,3
1283,199000,3,1,50,1,2
1285,188000,0,0,59,1,4
1286,255000,0,2,75,1,4
1288,235000,0,0,47,1,5
1289,219000,0,1,75,1,4
1290,280000,1,2,101,1,4
1295,195000,2,2,90,1,4
1296,240000,3,2,118,1,2
1297,230000,3,2,91,1,4
1300,264000,1,2,104,1,3
1301,235000,0,2,104,1,4
1302,225000,2,1,56,1,4
1307,1145000,2,2,185,1,5
1314,155000,0,1,65,1,0
1315,195000,0,2,105,1,0
1316,399000,7,2,115,2,5
1317,195000,3,4,95,1,4
1318,89000,0,1,46,1,4
1321,159000,2,2,102,1,4
1322,155000,2,1,75,1,4
1323,115000,2,2,75,1,4
1325,395000,0,3,135,3,2
1327,145000,9,2,70,1,0
1329,375000,1,3,191,1,4
1330,245000,2,2,95,1,4
1331,329000,1,3,118,1,4
1333,395000,4,2,108,1,4
1334,985000,3,2,91,1,5
1336,395000,4,2,115,1,4
1338,169000,0,1,60,1,4
1340,129000,6,0,40,1,0
1343,219000,0,2,100,1,3
1344,369000,0,2,91,1,3
1345,325000,2,2,128,2,2
1346,800000,1,3,154,2,5
1347,329000,1,3,127,1,3
1348,160000,0,1,57,1,5
1352,485000,1,3,130,1,4
1353,210000,2,1,78,1,4
1355,157000,8,2,87,1,4
1357,315000,3,2,90,1,3
1358,189000,1,2,85,1,5
1360,465000,0,3,180,1,2
1361,325000,3,3,115,1,4
1362,775000,0,6,215,3,4
1364,247500,4,2,106,1,4
1367,200000,1,2,84,1,2
1368,325000,2,2,90,1,4
1370,385000,0,4,227,2,4
1371,275000,3,2,89,1,5
1372,499000,4,3,145,1,5
1374,470000,1,3,150,3,4
1375,428000,0,2,128,1,4
1376,359000,1,3,135,2,3
1379,330000,2,3,95,1,0
1380,277500,0,2,84,1,4
1381,349000,0,3,129,1,5
1386,190000,0,2,68,1,4
1393,298000,2,3,109,1,5
1394,195000,0,1,64,1,5
1396,325000,2,2,105,1,4
1397,122000,7,0,34,1,4
1398,130000,1,1,55,1,2
1399,159000,0,1,50,1,0
1400,649000,1,3,165,1,5
1407,800000,3,2,186,1,0
1412,340000,1,2,83,1,4
1413,195000,2,2,96,1,0
1414,130000,2,1,80,1,4
1417,159000,4,1,64,1,4
1418,1195000,0,3,165,2,4
1420,250000,0,2,81,1,4
1421,349000,1,2,92,1,5
1424,235000,0,1,65,1,4
1425,260000,4,2,90,1,5
1426,599000,5,2,155,1,4
1427,285000,0,2,97,1,5
1428,197000,10,2,89,1,0
1430,169000,2,1,96,1,4
1431,165000,0,2,61,1,0
1432,170000,1,1,52,1,5
1434,319000,1,1,70,1,5
1436,130000,6,0,29,1,5
1437,239000,7,2,90,1,5
1438,207500,1,2,90,1,5
1439,235000,0,3,110,1,5
1440,205000,0,2,100,1,5
1441,148500,1,1,54,1,4
1442,332000,0,2,99,1,5
1443,317000,2,3,92,1,5
1445,177000,2,1,68,1,4
1447,419000,4,2,116,2,5
1449,145000,0,1,62,1,5
1450,495000,0,3,103,2,5
1453,155000,3,1,56,1,3
1455,198000,0,2,99,1,5
1456,349000,6,1,47,1,5
1459,479000,2,3,127,1,5
1460,219000,0,2,73,1,4
1464,495000,5,4,185,2,0
1466,215000,1,2,96,1,5
1468,315000,0,2,75,1,5
1469,129000,2,1,74,1,5
1470,145000,2,2,90,1,4
1472,549000,3,3,184,2,5
1473,2250000,1,2,97,2,5
1475,269000,2,2,107,1,5
1478,325000,0,3,100,1,4
1479,287000,1,2,75,1,4
1480,350000,3,3,104,2,4
1484,470000,2,3,177,2,0
1485,248000,1,1,57,1,4
1486,255000,10,1,51,1,5
1488,169000,11,1,59,1,4
1490,550000,2,3,159,2,2
1491,350000,3,1,64,1,2
